user,date,anomaly_score,severity,flagged_count,top_feature,explanation
KBG0549,2010-12-06,0.5586733346039118,MEDIUM,0,,No significant behavioral deviations detected.
THR0873,2010-12-06,0.6187383475094855,MEDIUM,0,,No significant behavioral deviations detected.
RDM0115,2010-12-06,0.5798958851491429,MEDIUM,0,,No significant behavioral deviations detected.
MCT0720,2010-12-06,0.5284100043152156,MEDIUM,0,,No significant behavioral deviations detected.
TPH0474,2010-12-06,0.5049358798735296,MEDIUM,0,,No significant behavioral deviations detected.
JCV0245,2010-12-06,0.5204643784769515,MEDIUM,0,,No significant behavioral deviations detected.
NSS0876,2010-12-06,0.6037045094630005,MEDIUM,0,,No significant behavioral deviations detected.
SCB0534,2010-12-06,0.5614492571276413,MEDIUM,0,,No significant behavioral deviations detected.
BHW0458,2010-12-06,0.5992550568628162,MEDIUM,0,,No significant behavioral deviations detected.
JLM0364,2010-12-06,0.5410480815490881,MEDIUM,0,,No significant behavioral deviations detected.
MAW0166,2010-12-06,0.5301152411702175,MEDIUM,0,,No significant behavioral deviations detected.
CMB0912,2010-12-06,0.5864589436637282,MEDIUM,0,,No significant behavioral deviations detected.
EPW0434,2010-12-06,0.5547958964162485,MEDIUM,1,unique_recipients_count,
AGB0186,2010-12-06,0.49785307609548646,LOW,0,,No significant behavioral deviations detected.
HVB0037,2010-12-06,0.5700036290017694,MEDIUM,0,,No significant behavioral deviations detected.
SER0165,2010-12-06,0.5329901902862815,MEDIUM,0,,No significant behavioral deviations detected.
ASB0796,2010-12-06,0.5750298500276925,MEDIUM,1,avg_email_size_kb,
BTS0011,2010-12-06,0.5796803832610176,MEDIUM,0,,No significant behavioral deviations detected.
HTH0007,2010-12-06,0.5574310509760725,MEDIUM,0,,No significant behavioral deviations detected.
HJB0742,2010-12-06,0.568163691377192,MEDIUM,0,,No significant behavioral deviations detected.
ENL0100,2010-12-06,0.5654925847366293,MEDIUM,0,,No significant behavioral deviations detected.
JCR0921,2010-12-06,0.6512707782854994,MEDIUM,1,after_hours_email_count,after_hours_email_count deviates strongly from user's baseline (3.1σ)
AMV0036,2010-12-06,0.5879390835889532,MEDIUM,0,,No significant behavioral deviations detected.
LAP0338,2010-12-06,0.5776123339336265,MEDIUM,0,,No significant behavioral deviations detected.
GAF0060,2010-12-06,0.5959815926159177,MEDIUM,1,after_hours_email_count,after_hours_email_count is rare for this day (99th percentile)
RDM0150,2010-12-06,0.5425314852735099,MEDIUM,0,,No significant behavioral deviations detected.
CTW0500,2010-12-06,0.5376719099861165,MEDIUM,0,,No significant behavioral deviations detected.
SBQ0786,2010-12-06,0.5400521187259171,MEDIUM,0,,No significant behavioral deviations detected.
PNH0761,2010-12-06,0.5348771620254914,MEDIUM,0,,No significant behavioral deviations detected.
TVS0050,2010-12-06,0.5857241098251602,MEDIUM,0,,No significant behavioral deviations detected.
THD0448,2010-12-06,0.49137265652943996,LOW,0,,No significant behavioral deviations detected.
CUD0795,2010-12-06,0.5520901554530532,MEDIUM,0,,No significant behavioral deviations detected.
FEB0306,2010-12-06,0.5832132155888556,MEDIUM,0,,No significant behavioral deviations detected.
ASG0048,2010-12-06,0.5543371730298159,MEDIUM,0,,No significant behavioral deviations detected.
EMB0531,2010-12-06,0.5202866236472701,MEDIUM,0,,No significant behavioral deviations detected.
JMC0925,2010-12-06,0.5970277550423841,MEDIUM,0,,No significant behavioral deviations detected.
BWP0202,2010-12-06,0.536879165559725,MEDIUM,0,,No significant behavioral deviations detected.
HVF0067,2010-12-06,0.5445785756271493,MEDIUM,0,,No significant behavioral deviations detected.
CWR0502,2010-12-06,0.5713406262383124,MEDIUM,0,,No significant behavioral deviations detected.
WBC0315,2010-12-06,0.6181873815583938,MEDIUM,1,unique_recipients_count,unique_recipients_count is rare for this day (98th percentile)
SBN0866,2010-12-06,0.5131976866339246,MEDIUM,0,,No significant behavioral deviations detected.
HIA0414,2010-12-06,0.5654863208311791,MEDIUM,0,,No significant behavioral deviations detected.
CLF0852,2010-12-06,0.6150155762019515,MEDIUM,1,unique_recipients_count,unique_recipients_count is rare for this day (99th percentile)
YEV0793,2010-12-06,0.5500626565626974,MEDIUM,0,,No significant behavioral deviations detected.
JCG0316,2010-12-06,0.5865591507271607,MEDIUM,0,,No significant behavioral deviations detected.
GCC0945,2010-12-06,0.5168112217662391,MEDIUM,0,,No significant behavioral deviations detected.
ELT0769,2010-12-06,0.5559235629612216,MEDIUM,0,,No significant behavioral deviations detected.
TEM0977,2010-12-06,0.6384530466687336,MEDIUM,1,after_hours_email_count,
MAR0955,2010-12-06,0.5332341309370403,MEDIUM,0,,No significant behavioral deviations detected.
BEH0615,2010-12-06,0.6178237399254953,MEDIUM,1,avg_email_size_kb,
MSG0839,2010-12-06,0.6385175704247693,MEDIUM,0,,No significant behavioral deviations detected.
AHD0848,2010-12-06,0.518094312978304,MEDIUM,0,,No significant behavioral deviations detected.
KBB0189,2010-12-06,0.5231758164557327,MEDIUM,0,,No significant behavioral deviations detected.
RGH0728,2010-12-06,0.6031880244403017,MEDIUM,0,,No significant behavioral deviations detected.
PLH0862,2010-12-06,0.5530997913205795,MEDIUM,0,,No significant behavioral deviations detected.
JMD0520,2010-12-06,0.5448609137958711,MEDIUM,0,,No significant behavioral deviations detected.
HWH0646,2010-12-06,0.513323424284183,MEDIUM,0,,No significant behavioral deviations detected.
PMC0328,2010-12-06,0.5928259255122853,MEDIUM,2,unique_recipients_count,unique_recipients_count deviates strongly from user's baseline (4.0σ); avg_email_size_kb is rare for this day (97th percentile)
BWH0813,2010-12-06,0.5519872296404124,MEDIUM,0,,No significant behavioral deviations detected.
MKG0711,2010-12-06,0.5909646206668775,MEDIUM,0,,No significant behavioral deviations detected.
NKH0807,2010-12-06,0.5973328581550837,MEDIUM,1,avg_email_size_kb,
BMG0917,2010-12-06,0.5303808932169153,MEDIUM,0,,No significant behavioral deviations detected.
SBN0971,2010-12-06,0.5200584999716019,MEDIUM,0,,No significant behavioral deviations detected.
EMW0105,2010-12-06,0.5848954291917069,MEDIUM,0,,No significant behavioral deviations detected.
LAM0911,2010-12-06,0.5608819416115041,MEDIUM,0,,No significant behavioral deviations detected.
HIW0536,2010-12-06,0.5955589678707853,MEDIUM,0,,No significant behavioral deviations detected.
BER0314,2010-12-06,0.5405291461002584,MEDIUM,0,,No significant behavioral deviations detected.
BVC0790,2010-12-06,0.5973423715402917,MEDIUM,1,avg_email_size_kb,
KBC0054,2010-12-06,0.5859206207724157,MEDIUM,0,,No significant behavioral deviations detected.
PMJ0564,2010-12-06,0.5246487924052445,MEDIUM,0,,No significant behavioral deviations detected.
AHC0142,2010-12-06,0.5416174122773321,MEDIUM,0,,No significant behavioral deviations detected.
RFP0380,2010-12-06,0.5193091119825642,MEDIUM,0,,No significant behavioral deviations detected.
MDH0580,2010-12-06,0.5948921248943912,MEDIUM,1,after_hours_email_count,after_hours_email_count deviates strongly from user's baseline (3.5σ)
GBM0603,2010-12-06,0.5568342854520429,MEDIUM,0,,No significant behavioral deviations detected.
AMR0400,2010-12-06,0.5602636160127549,MEDIUM,0,,No significant behavioral deviations detected.
TVS0006,2010-12-06,0.610913092953392,MEDIUM,0,,No significant behavioral deviations detected.
TET0621,2010-12-06,0.5899442601684994,MEDIUM,0,,No significant behavioral deviations detected.
GCC0744,2010-12-06,0.5562304707371613,MEDIUM,0,,No significant behavioral deviations detected.
SJO0209,2010-12-06,0.5526740934631545,MEDIUM,0,,No significant behavioral deviations detected.
CWB0065,2010-12-06,0.5384471205243161,MEDIUM,0,,No significant behavioral deviations detected.
EMS0317,2010-12-06,0.5783236420194549,MEDIUM,0,,No significant behavioral deviations detected.
MSD0939,2010-12-06,0.5921483538812475,MEDIUM,1,unique_recipients_count,
KJP0371,2010-12-06,0.5538320990561154,MEDIUM,0,,No significant behavioral deviations detected.
ABH0663,2010-12-06,0.5591477329912615,MEDIUM,0,,No significant behavioral deviations detected.
LAF0991,2010-12-06,0.5531994443563677,MEDIUM,0,,No significant behavioral deviations detected.
LJB0826,2010-12-06,0.5691399367966687,MEDIUM,0,,No significant behavioral deviations detected.
NWK0215,2010-12-06,0.5318326453238165,MEDIUM,0,,No significant behavioral deviations detected.
JCR0172,2010-12-06,0.6284664199310658,MEDIUM,0,,No significant behavioral deviations detected.
PAD0773,2010-12-06,0.5610672022700562,MEDIUM,0,,No significant behavioral deviations detected.
DKB0631,2010-12-06,0.5793625073962085,MEDIUM,0,,No significant behavioral deviations detected.
LRW0970,2010-12-06,0.5581815171162887,MEDIUM,0,,No significant behavioral deviations detected.
AJP0723,2010-12-06,0.5373557760161393,MEDIUM,0,,No significant behavioral deviations detected.
NCH0179,2010-12-06,0.6120448210612229,MEDIUM,1,after_hours_email_count,after_hours_email_count is rare for this day (97th percentile)
ATF0274,2010-12-06,0.5473521600686226,MEDIUM,0,,No significant behavioral deviations detected.
ATP0662,2010-12-06,0.5750829117618312,MEDIUM,1,avg_email_size_kb,
BAJ0654,2010-12-06,0.5488742208010117,MEDIUM,0,,No significant behavioral deviations detected.
HBO0413,2010-12-06,0.5140398150610838,MEDIUM,0,,No significant behavioral deviations detected.
SSG0250,2010-12-06,0.5489514660980821,MEDIUM,0,,No significant behavioral deviations detected.
HPR0585,2010-12-06,0.597875949081337,MEDIUM,0,,No significant behavioral deviations detected.
AKF0709,2010-12-06,0.5128135751853587,MEDIUM,0,,No significant behavioral deviations detected.
MLL0598,2010-12-06,0.5075318822660766,MEDIUM,0,,No significant behavioral deviations detected.
NBH0256,2010-12-06,0.5163770230208609,MEDIUM,0,,No significant behavioral deviations detected.
RNP0211,2010-12-06,0.5767774369986745,MEDIUM,1,unique_recipients_count,unique_recipients_count is rare for this day (96th percentile)
SSJ0784,2010-12-06,0.5690870463512222,MEDIUM,0,,No significant behavioral deviations detected.
DJB0159,2010-12-06,0.6024004710108148,MEDIUM,0,,No significant behavioral deviations detected.
AKC0924,2010-12-06,0.5593878723361934,MEDIUM,1,after_hours_email_count,after_hours_email_count is rare for this day (99th percentile)
LTS0860,2010-12-06,0.5926830287641172,MEDIUM,0,,No significant behavioral deviations detected.
NBC0412,2010-12-06,0.6173844959989632,MEDIUM,1,after_hours_email_count,after_hours_email_count deviates strongly from user's baseline (8.7σ)
WPR0368,2010-12-06,0.5953810780816856,MEDIUM,0,,No significant behavioral deviations detected.
HAM0985,2010-12-06,0.5140186856738549,MEDIUM,0,,No significant behavioral deviations detected.
SOB0586,2010-12-06,0.5008769905927064,MEDIUM,0,,No significant behavioral deviations detected.
ROB0272,2010-12-06,0.538563515705037,MEDIUM,0,,No significant behavioral deviations detected.
CGA0629,2010-12-06,0.6025118765477584,MEDIUM,2,unique_recipients_count,unique_recipients_count is rare for this day (97th percentile)
KPP0452,2010-12-06,0.5450050295844627,MEDIUM,0,,No significant behavioral deviations detected.
MHG0733,2010-12-06,0.6120050042387261,MEDIUM,0,,No significant behavioral deviations detected.
DPM0423,2010-12-06,0.511205549278659,MEDIUM,0,,No significant behavioral deviations detected.
HAH0760,2010-12-06,0.515948729466478,MEDIUM,0,,No significant behavioral deviations detected.
DMM0623,2010-12-06,0.5714253693887725,MEDIUM,0,,No significant behavioral deviations detected.
OMM0944,2010-12-06,0.5237407104653583,MEDIUM,0,,No significant behavioral deviations detected.
RVF0201,2010-12-06,0.5536860399939421,MEDIUM,0,,No significant behavioral deviations detected.
LPC0492,2010-12-06,0.5621370996131405,MEDIUM,0,,No significant behavioral deviations detected.
AAW0353,2010-12-06,0.576272079122608,MEDIUM,0,,No significant behavioral deviations detected.
RUM0880,2010-12-06,0.5294874474710672,MEDIUM,0,,No significant behavioral deviations detected.
SNS0129,2010-12-06,0.5420194129964725,MEDIUM,0,,No significant behavioral deviations detected.
WSR0241,2010-12-06,0.5614753668927348,MEDIUM,0,,No significant behavioral deviations detected.
HCL0651,2010-12-06,0.524622173352421,MEDIUM,1,after_hours_email_count,after_hours_email_count is rare for this day (97th percentile)
CEJ0109,2010-12-06,0.5474443551934776,MEDIUM,0,,No significant behavioral deviations detected.
JRL0574,2010-12-06,0.561253695900076,MEDIUM,0,,No significant behavioral deviations detected.
AKK0329,2010-12-06,0.5811891115497996,MEDIUM,1,avg_email_size_kb,avg_email_size_kb is rare for this day (96th percentile)
RSC0089,2010-12-06,0.5426466991135394,MEDIUM,0,,No significant behavioral deviations detected.
JJB0700,2010-12-06,0.5481596177640233,MEDIUM,0,,No significant behavioral deviations detected.
IKP0472,2010-12-06,0.5791458490222233,MEDIUM,0,,No significant behavioral deviations detected.
CHM0821,2010-12-06,0.5238918972851705,MEDIUM,0,,No significant behavioral deviations detected.
ILC0838,2010-12-06,0.5621300672510385,MEDIUM,0,,No significant behavioral deviations detected.
JSH0330,2010-12-06,0.5383491980648027,MEDIUM,0,,No significant behavioral deviations detected.
RTO0313,2010-12-06,0.6102861748266237,MEDIUM,1,unique_recipients_count,unique_recipients_count is rare for this day (99th percentile)
KMS0657,2010-12-06,0.5456808622704143,MEDIUM,0,,No significant behavioral deviations detected.
SOG0411,2010-12-06,0.5423868105093573,MEDIUM,1,unique_recipients_count,
NCE0097,2010-12-06,0.5203177061595068,MEDIUM,0,,No significant behavioral deviations detected.
JSA0775,2010-12-06,0.5603867426042755,MEDIUM,0,,No significant behavioral deviations detected.
HAV0121,2010-12-06,0.5176423392741417,MEDIUM,0,,No significant behavioral deviations detected.
WVB0539,2010-12-06,0.591023044970672,MEDIUM,0,,No significant behavioral deviations detected.
DHM0937,2010-12-06,0.5728615754537051,MEDIUM,0,,No significant behavioral deviations detected.
HBB0056,2010-12-06,0.5717602857879803,MEDIUM,1,unique_recipients_count,
IIW0249,2010-12-06,0.5287444355304848,MEDIUM,0,,No significant behavioral deviations detected.
DIW0118,2010-12-06,0.556562893354203,MEDIUM,0,,No significant behavioral deviations detected.
OQH0183,2010-12-06,0.5361724538564658,MEDIUM,0,,No significant behavioral deviations detected.
KNW0644,2010-12-06,0.5345005436767278,MEDIUM,0,,No significant behavioral deviations detected.
KNG0672,2010-12-06,0.5402402948773487,MEDIUM,0,,No significant behavioral deviations detected.
KPR0497,2010-12-06,0.6012383047154198,MEDIUM,0,,No significant behavioral deviations detected.
LRR0148,2010-12-06,0.5514262913900942,MEDIUM,0,,No significant behavioral deviations detected.
CFG0959,2010-12-06,0.5622667530184497,MEDIUM,0,,No significant behavioral deviations detected.
IHK0841,2010-12-06,0.5868216515787014,MEDIUM,1,after_hours_email_count,
ORG0339,2010-12-06,0.6057473804740823,MEDIUM,0,,No significant behavioral deviations detected.
DLS0383,2010-12-06,0.538857615749334,MEDIUM,0,,No significant behavioral deviations detected.
DID0650,2010-12-06,0.595889474493729,MEDIUM,1,avg_email_size_kb,avg_email_size_kb is rare for this day (98th percentile)
ABC0253,2010-12-06,0.5274509802524868,MEDIUM,0,,No significant behavioral deviations detected.
LQP0508,2010-12-06,0.5125541371346286,MEDIUM,0,,No significant behavioral deviations detected.
VCC0396,2010-12-06,0.5606830597259498,MEDIUM,1,avg_email_size_kb,
IJM0139,2010-12-06,0.5249997797336877,MEDIUM,0,,No significant behavioral deviations detected.
AJN0607,2010-12-06,0.6146821180623699,MEDIUM,0,,No significant behavioral deviations detected.
MHA0798,2010-12-06,0.5630600416591723,MEDIUM,0,,No significant behavioral deviations detected.
AVM0947,2010-12-06,0.5487304629327208,MEDIUM,0,,No significant behavioral deviations detected.
IIA0092,2010-12-06,0.5567960676915567,MEDIUM,0,,No significant behavioral deviations detected.
SRH0155,2010-12-06,0.5600105934243865,MEDIUM,0,,No significant behavioral deviations detected.
JRS0362,2010-12-06,0.5740846086386183,MEDIUM,0,,No significant behavioral deviations detected.
JRG0207,2010-12-06,0.5890434179012546,MEDIUM,0,,No significant behavioral deviations detected.
DLH0029,2010-12-06,0.528315087282911,MEDIUM,0,,No significant behavioral deviations detected.
HAC0282,2010-12-06,0.5043028074467086,MEDIUM,0,,No significant behavioral deviations detected.
CGB0637,2010-12-06,0.5418125614345046,MEDIUM,0,,No significant behavioral deviations detected.
VAA0087,2010-12-06,0.5312862322557547,MEDIUM,0,,No significant behavioral deviations detected.
SRS0231,2010-12-06,0.5898492427944418,MEDIUM,0,,No significant behavioral deviations detected.
NAR0981,2010-12-06,0.5406775329293043,MEDIUM,0,,No significant behavioral deviations detected.
OYM0026,2010-12-06,0.5217648550048806,MEDIUM,0,,No significant behavioral deviations detected.
